transaction_id,customer_id,transaction_date,amount,status,city,state
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,2017-10-02 10:56:33,2.0,Pending,sao paulo,SP
949d5b44dbf5de918fe9c16f97b45f8a,f88197465ea7920adcdbec7375364d82,2017-11-18 19:28:06,72.2,Pending,sao goncalo do amarante,RN
e69bfb5eb88e0ed6a785585b27e16dbf,31ad1d1b63eb9962463f764d4e6e0c9d,2017-07-29 11:55:02,161.42,Failed,sorocaba,SP
e69bfb5eb88e0ed6a785585b27e16dbf,31ad1d1b63eb9962463f764d4e6e0c9d,2017-07-29 11:55:02,8.34,Pending,sorocaba,SP
82566a660a982b15fb86e904c8d32918,d3e3b74c766bc6214e0c830b17ee2341,2018-06-07 10:06:19,50.13,Pending,ouro preto,MG
acce194856392f074dbf9dada14d8d82,7e20bf5ca92da68200643bda76c504c6,2018-06-04 00:00:13,227.68,Pending,salvador,BA
b276e4f8c0fb86bd82fce576f21713e0,cf8ffeddf027932e51e4eae73b384059,2018-07-29 23:34:51,188.41,Pending,santa barbara d'oeste,SP
434d158e96bdd6972ad6e6d73ddcfd22,2a1dfb647f32f4390e7b857c67458536,2018-06-01 12:23:13,508.17,Pending,jaboatao dos guararapes,PE
66e4624ae69e7dc89bd50222b59f581f,684fa6da5134b9e4dab731e00011712d,2018-03-09 14:50:15,91.68,Failed,aracaju,SE
a685d016c8a26f71a0bb67821070e398,911e4c37f5cafe1604fe6767034bf1ae,2017-03-13 18:14:36,99.26,Failed,campinas,SP
2edfd6d1f0b4cd0db4bf37b1b224d855,241e78de29b3090cfa1b5d73a8130c72,2017-06-13 21:11:26,141.15,Failed,sao paulo,SP
b52cc4919de82b4d696a4380d10804a3,be8c14c16a4d47194ccdfe10f1fc5b1a,2018-06-13 13:47:39,55.02,Pending,cosmopolis,SP
fdf128b3630c21adc9ca4fb8a51b68ec,a9d37ddc8ba4d9f6dbac7d8ec378cc95,2018-07-15 08:33:19,46.2,Pending,joinville,SC
9defaf92cff22420e4e8ef7784815a55,64fb950e760ec8b0db79154a1fa9c1bf,2018-05-11 13:10:51,62.69,Pending,sorocaba,SP
20e0101b20700188cadb288126949685,48558a50a7ba1aab61891936d2ca7681,2018-01-22 19:22:22,105.56,Failed,jequitai,MG
77e9941864fc840be8e4b1ba5347c0f7,3135962ee745ef39b85576df7ddbaa99,2018-08-03 08:59:39,103.27,Pending,alto santo,CE
e346cd9299371b18c0b28e8e29a5e376,fb9590a1e30e0ba8304ea73a31325797,2017-05-17 08:36:11,42.59,Pending,itanhaem,SP
0760a852e4e9d89eb77bf631eaaf1c84,d2a79636084590b7465af8ab374a8cf5,2018-08-03 17:44:42,50.35,Pending,santo amaro da imperatriz,SC
bfe42c22ecbf90bc9f35cf591270b6a7,803ac05904124294f8767894d6da532b,2018-01-27 22:04:34,42.4,Pending,bonfinopolis de minas,MG
e37797aedc7cd4ef82278fbc169eecaf,4c9c7c2b6de6ee2568681b5599bb7495,2018-05-08 22:12:34,84.57,Failed,sao paulo,SP
5164933efe0cd14f31424b9badf81f19,d0e71d7a6dbca8ac513ac63d08a81fa0,2018-04-25 22:18:10,141.9,Pending,sao caetano do sul,SP
5447160f15621601fa9ba2b94f4906b3,9c338ea8093192e203bc16add78c123c,2017-11-21 12:08:32,161.77,Pending,curitiba,PR
b16cec67cb3f5a4bb31abe8988b43d19,62ffae18a7ca4b2e681c6296180ae346,2018-03-26 09:14:26,141.67,Pending,rio de janeiro,RJ
e6190dea235662449d160357e46eaec8,b80feb27fb4955a21bca55fdb039af17,2018-01-09 06:37:43,89.88,Pending,osasco,SP
4b87488fb6269f8321508923b95da4d6,e42998ccffc48dc87bf70b37e2d61f33,2018-06-08 12:19:58,38.47,Pending,espera feliz,MG
33a3edb84b9df4cb49546859b990ac6d,35ec6c1ca9e5844c5ca94214cce16dca,2018-02-21 17:15:49,67.5,Failed,juiz de fora,MG
62a12e4d2a742b2491d7c00d2d79bf52,b60550c21000f91484c7d2aa2b8c522e,2017-11-27 19:24:52,299.72,Pending,caxias do sul,RS
265f4e28ef8cf69f8445e2951bbe7343,c572fd6cdd98e87ea2bc433b6da21078,2017-03-06 00:14:28,64.74,Failed,ariquemes,RO
93ec3e2c9a4beee38c28973d307093e1,330ca6b207006779da875ef48faef608,2018-03-29 14:27:41,204.45,Failed,sao paulo,SP
36ebb4199031e72a1fa964549b88c377,eecf2b94cdbe9ef6245fabb5e091c987,2018-04-04 08:39:50,133.25,Failed,itapeva,SP
58d4c4747ee059eeeb865b349b41f53a,1755fad7863475346bc6c3773fe055d3,2018-07-21 12:49:32,35.36,Pending,santa barbara d'oeste,SP
b616f638cd86d92c7cbd06cf7484ee34,8458f7ae02bda5950ce48c01a720559a,2018-05-23 16:37:35,20.75,Pending,sao paulo,SP
9ceb8ab5165cefecdddb546cb5a6362b,eb1c0e1ca3e17eccaefb7f0d4dc659b1,2018-02-05 17:27:54,138.09,Pending,rio de janeiro,RJ
61988b318aaf57d18336c629bc42cf1b,02731f7e9105dec7fc7fa715ccd821b3,2018-03-29 16:17:53,160.14,Pending,vitoria,ES
edc531c3153d23614049077e7e1e6405,68b315ac209c92f15ec1f364f5d45e67,2018-04-17 11:25:39,136.4,Pending,varginha,MG
7835af1856de332f2f3c9204b740a3a2,d1b370c90ad7dacb840010a6e89c7e89,2017-12-24 17:34:12,64.09,Pending,belo horizonte,MG
7156f3e0b94405abcbad1a8c94557338,5134baea6a4f11251fc92a2f358dfb4c,2017-04-20 16:18:26,28.46,Pending,campinas,SP
3ef7c7b43ae449415675a6c34720b78e,cae507afa38570ca8b08ae0cbcadd5d5,2018-06-16 19:05:54,403.32,Failed,paulinia,SP
7e3e92dc3eaf5389f32da97228f7dd0e,62d50e9a714ac024c196d9548594e2aa,2017-07-02 20:47:24,95.21,Pending,caxias do sul,RS
955e2b622db1a1f4031ef035ce9a861f,8d0c2ae2c7b532f0e90bdd06bc9a04b7,2018-01-16 22:34:16,211.89,Pending,sao paulo,SP
fd9b8ed51e5ffedf7a56bea36cc5b6f9,0385c03f2b10a0a50ee72d8e3649a4b3,2018-03-30 23:11:40,43.32,Failed,assis,SP
bb4f0c21ae6014e40ef007ff6fbcbeb9,94f7f1cb719dd707fd437e918d282537,2017-02-12 18:48:56,14.89,Pending,diadema,SP
d86359a45e3f6c6d8b35f7b13e41abf5,a1acf95041edd043087a040e89449636,2018-06-06 14:21:47,124.7,Pending,praia grande,SP
8e24261a7e58791d10cb1bf9da94df5c,64a254d30eed42cd0e6c36dddb88adf0,2017-11-16 15:09:28,84.0,Failed,sao bento do sul,SC
56bd45163229b35ca0ab490c1e3d3233,f8975f0842ae1e4670a410a02b1b5053,2017-11-28 21:07:26,76.85,Pending,sao paulo,SP
6bb1e842418aac0c9c820afd3bb63a2d,032f25110f17bb0d65268257b10738bc,2018-02-11 14:13:54,32.69,Failed,jatai,GO
884cb4ce4a06390d35206de06f785d13,d19813c8754cc82d0add67df8bd8a38c,2018-04-03 20:44:15,24.38,Pending,sao paulo,SP
4570fa83dbb31a563e06db0a554b951e,cdfe21141f5df77ba0fb20bef6621a9f,2018-03-15 20:23:45,322.17,Failed,sao paulo,SP
d74d2985a4c187334dc59722076a2e5f,5f49d01f1579c231565f6629a6cb3c0f,2018-08-09 20:36:13,257.42,Pending,belem,PA
ae17bb94dfb3eaf396cd393eace1de80,9cd169cea5076bf383e40a261d7b7142,2018-03-09 15:09:28,57.46,Pending,campinas,SP
4d4ef6cd8147028ffd8c18dc0f6e3050,9afa8a81202f94d96ffed6977f09ea63,2018-08-24 19:01:02,87.58,Pending,santa rita do sapucai,MG
6cc4eb51469dec50a6130fe1cd07b7f9,a207382f0f563c1f430ef732ade9d9ff,2017-05-08 12:22:44,139.17,Failed,guarulhos,SP
25ebb07a1069a75d3cb9baf0a94f22d0,d76dc2ed3d9f58905f39deea067fd40f,2018-07-22 06:24:50,201.42,Failed,belo horizonte,MG
6f6665c1d76e55561978ccb45bdcafc6,12ae89712aa5a178c22147486d3cd310,2017-02-23 08:03:00,109.26,Failed,rio de janeiro,RJ
b7a4a9ecb1cd3ef6a3e36a48e200e3be,c3d8fc500d86b1c961ee144395c13a57,2017-05-19 18:13:54,41.1,Failed,lages,SC
d10090be5f75fb89b6817469f0ce1a30,321d2bc7c3bcd8475d52d2cf4a179c37,2018-04-18 13:13:47,32.13,Pending,queimados,RJ
5342acb7b183acec77f59e4d78f7c804,4d493a5e3a53373d3bc26a01575a71dc,2018-03-29 20:53:48,150.21,Pending,simoes filho,BA
